,Call_OI,Put_OI,Call_IV,Put_IV,c_gamma,c_vega,c_theta,c_delta,p_delta,p_theta,p_vega,p_gamma,maxpain,ltp
2023-10-04 11:40:14,8126349.0,6029507.0,2305.51,2288.1,0.010073238732588585,19.595238595201504,-184.70418380453336,2.5720897681167783,24.3545916199606,-877.4815567671882,52.60899587510498,0.014602234440497242,44000,43936.75
2023-10-04 11:40:44,8126485.0,6029662.0,2305.53,2288.1,0.010072576640818287,19.57006849075309,-184.65287822221958,2.571905388570282,24.35730376755047,-877.6723527613412,52.55319594060212,0.014592886133923955,44000,43936.75
2023-10-04 11:41:43,8125811.0,6029486.0,2417.59,2113.69,0.010523639838999621,19.451187023696114,-174.15326839864838,2.6003556900979135,24.019811011072495,-1093.5063499264077,56.58187927259381,0.014466310991334552,44000,43939.9
2023-10-04 11:42:13,8125811.0,6029486.0,2417.59,2113.69,0.010840238688636372,19.157896862476573,-165.73215295012386,2.587765783613617,23.91361674471416,-1168.878332162496,57.73619420609308,0.014341475287893424,44000,43939.9
2023-10-04 11:44:13,8129998.0,5989069.0,2417.59,2113.69,0.011338684025308243,20.954330911030315,-210.99904332341012,4.334365685328555,21.74775340011292,-743.5348609493878,48.57081912751791,0.014657239019721935,44000,43922.45
2023-10-04 11:45:13,8108298.0,6001081.0,2417.59,2113.69,0.010058929982292852,19.289069027360465,-187.63372883666656,2.5072654496480107,22.324191739488306,-959.7158921643158,53.09244044403525,0.014546084266542358,44000,43930.45
2023-10-04 11:46:13,8108298.0,6001081.0,2417.59,2113.69,0.010416947024138867,19.00556962616138,-178.61333617768966,2.4943967899694535,22.11604801128785,-1101.2928804053531,55.373077762385435,0.014394547416252124,44000,43930.45
2023-10-04 11:47:13,8107955.0,6001044.0,2417.59,2113.69,0.011461993681405325,20.873420393981984,-183.4774829773442,4.2130881474938375,21.866434864090294,-727.2595141397876,47.67036870148145,0.01464907332326959,44000,43912.4
2023-10-04 11:47:43,8107955.0,6001044.0,2417.59,2113.69,0.011410854845461671,20.529945344906864,-180.00911312862968,4.240804470270571,21.761013786940445,-792.2470845919397,48.91329521351817,0.014491322478660251,44000,43912.4
2023-10-04 11:49:43,8107955.0,6001044.0,2417.59,2113.69,0.011441337007256358,20.527521137144824,-181.09842735071615,4.249961081798434,22.68896161322732,-826.695601104459,49.63331810063093,0.014509126571304876,44000,43912.4
